ultralytics/yolov5,ultralytics/yolov5.1,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
obss/sahi,obss/sahi,"['object-detection', 'instance-segmentation', 'computer-vision', 'small-object-detection', 'large-image', 'mmdetection', 'pytorch', 'python', 'yolov5', 'coco', 'detectron2', 'deep-learning', 'machine-learning', 'remote-sensing', 'huggingface', 'fiftyone', 'satellite', 'tiling', 'merge', 'explainable-ai']",Framework agnostic sliced/tiled inference + interactive ui + error analysis plots
wongkinyiu/scaledyolov4,WongKinYiu/ScaledYOLOv4,"['machine-learning', 'deep-learning', 'ml', 'pytorch', 'yolo', 'object-detection', 'yolov3', 'yolov4', 'scaled-yolov4', 'yolov4-tiny', 'yolov4-csp', 'yolov4-large']",Scaled-YOLOv4: Scaling Cross Stage Partial Network
ivan-bilan/the-nlp-pandect,ivan-bilan/The-NLP-Pandect,"['nlp', 'naturallanguageprocessing', 'awesome-list', 'deeplearning', 'natural-language-processing', 'pandect']",A comprehensive reference for all topics related to Natural Language Processing
ashleve/lightning-hydra-template,ashleve/lightning-hydra-template,"['pytorch-lightning', 'wandb', 'project-structure', 'config', 'deep-learning', 'hydra', 'template', 'pytorch', 'reproducibility', 'best-practices', 'neptune', 'mlflow', 'tensorboard', 'comet', 'mlops']",PyTorch Lightning + Hydra. A very user-friendly template for rapid and reproducible ML experimentation with best practices.  ⚡🔥⚡
cvg/hierarchical-localization,cvg/Hierarchical-Localization,"['deep-learning', 'visual-localization', 'feature-matching', 'image-retrieval', 'structure-from-motion', 'pose-estimation', 'superglue']",Visual localization made easy with hloc
voxel51/fiftyone,voxel51/fiftyone,"['machine-learning', 'artificial-intelligence', 'deep-learning', 'computer-vision', 'developer-tools', 'data-science', 'python', 'hacktoberfest']",The open-source tool for building high-quality datasets and computer vision models
benedekrozemberczki/pytorch_geometric_temporal,benedekrozemberczki/pytorch_geometric_temporal,"['pytorch', 'graph-neural-networks', 'temporal-networks', 'temporal-graphs', 'gcn', 'graph-convolutional-networks', 'deep-learning', 'network-science', 'temporal-data', 'node-embedding', 'network-embedding', 'graph-embedding', 'spatial-data', 'spatial-analysis', 'spatio-temporal-data', 'spatio-temporal-analysis', 'gnn', 'graph-convolution', 'spatiotemporal']",PyTorch Geometric Temporal: Spatiotemporal Signal Processing with Neural Machine Learning Models (CIKM 2021)
wongkinyiu/yolor,WongKinYiu/yolor,"['yolov4', 'scaled-yolov4', 'yolov4-csp', 'darknet', 'pytorch', 'implicit', 'explicit', 'yolor', 'yolo', 'representation', 'unified-network']",implementation of paper - You Only Learn One Representation: Unified Network for Multiple Tasks (https://arxiv.org/abs/2105.04206)
yuchenlin/rebiber,yuchenlin/rebiber,"['bibtex', 'latex', 'publication', 'research-paper', 'bibliography', 'natural-language-processing', 'machine-learning']","A simple tool to update bib entries with their official information (e.g., DBLP or the ACL anthology)."
yaofanguk/video-subtitle-extractor,YaoFANGUK/video-subtitle-extractor,"['deep-learning', 'ocr', 'subtitles', 'srt', 'hardsub', 'extract', 'ripper', 'subrip']",视频硬字幕提取，生成srt文件。无需申请第三方API，本地实现文本识别。基于深度学习的视频字幕提取框架，包含字幕区域检测、字幕内容提取。A GUI tool for extracting hard-coded subtitle (hardsub) from videos and generating srt files. 
lightly-ai/lightly,lightly-ai/lightly,"['deep-learning', 'self-supervised-learning', 'machine-learning', 'computer-vision', 'pytorch', 'embeddings', 'contrastive-learning', 'active-learning']",A python library for self-supervised learning on images.
determined-ai/determined,determined-ai/determined,"['deep-learning', 'machine-learning', 'ml-platform', 'ml-infrastructure', 'hyperparameter-optimization', 'hyperparameter-search', 'distributed-training', 'pytorch', 'tensorflow', 'hyperparameter-tuning', 'kubernetes', 'data-science', 'mlops']",Determined: Deep Learning Training Platform
bubbliiiing/yolov4-pytorch,bubbliiiing/yolov4-pytorch,[],这是一个YoloV4-pytorch的源码，可以用于训练自己的模型。
aqlaboratory/openfold,aqlaboratory/openfold,"['pytorch', 'protein-structure', 'alphafold2']","Trainable, memory-efficient, and GPU-friendly PyTorch reproduction of AlphaFold 2"
lucidrains/reformer-pytorch,lucidrains/reformer-pytorch,"['artificial-intelligence', 'transformers', 'attention-mechanism', 'machine-learning', 'pytorch']","Reformer, the efficient Transformer, in Pytorch"
nadermx/backgroundremover,nadermx/backgroundremover,"['background-remover', 'backgroundremover', 'removebackground', 'remove-background', 'remove-background-image', 'remove-background-video', 'background-removal', 'python', 'video', 'pytorch', 'video-editing', 'photo-editing']",Background Remover lets you Remove Background from images and video with a simple command line interface that is free and open source.
jaywalnut310/vits,jaywalnut310/vits,"['tts', 'text-to-speech', 'pytorch', 'deep-learning', 'speech-synthesis']",VITS: Conditional Variational Autoencoder with Adversarial Learning for End-to-End Text-to-Speech
taesungp/contrastive-unpaired-translation,taesungp/contrastive-unpaired-translation,"['pytorch', 'computervision', 'deeplearning', 'cyclegan', 'image-generation', 'computer-vision', 'computer-graphics', 'image-manipulation', 'gans', 'generative-adversarial-network']","Contrastive unpaired image-to-image translation, faster and lighter training than cyclegan (ECCV 2020, in PyTorch)"
microsoft/flaml,microsoft/FLAML,"['automl', 'hyperparam', 'automated-machine-learning', 'machine-learning', 'data-science', 'python', 'jupyter-notebook', 'hyperparameter-optimization', 'random-forest', 'scikit-learn', 'deep-learning', 'natural-language-processing', 'natural-language-generation', 'timeseries-forecasting', 'classification', 'regression', 'tuning', 'finetuning', 'tabular-data']",A fast library for AutoML and tuning. Join our Discord: https://discord.gg/Cppx2vSPVP.
lucidrains/big-sleep,lucidrains/big-sleep,"['artificial-intelligence', 'deep-learning', 'text-to-image', 'generative-adversarial-networks', 'multimodality']","A simple command line tool for text to image generation, using OpenAI's CLIP and a BigGAN. Technique was originally created by https://twitter.com/advadnoun"
rentruewang/koila,rentruewang/koila,"['pytorch', 'lazy-evaluation', 'out-of-memory', 'python', 'machine-learning', 'deep-learning', 'memory-management', 'gradient-accumulation', 'neural-network']",Prevent PyTorch's `CUDA error: out of memory` in just 1 line of code.
wzhe06/sparrowrecsys,wzhe06/SparrowRecSys,"['recommender-system', 'deep-learning', 'machine-learning']",A Deep Learning Recommender System
dongrixinyu/jionlp,dongrixinyu/JioNLP,"['nlp', 'natural-language-processing', 'python', 'apache2', 'ner', 'chinese', 'time-parse', 'nlp-parse', 'preprocessing', 'time-parsing']",中文 NLP 预处理、解析工具包，准确、高效、易用 A Chinese NLP Preprocessing & Parsing Package www.jionlp.com
argusswift/yolov4-pytorch,argusswift/YOLOv4-pytorch,"['yolov4', 'object-detection', 'pytorch', 'senet', 'cbam', 'mobilenetv2', 'mobilenetv3', 'attention']","This is a pytorch repository of YOLOv4, attentive YOLOv4 and mobilenet YOLOv4 with PASCAL VOC and COCO"
sczhou/codeformer,sczhou/CodeFormer,"['codebook', 'codeformer', 'face-enhancement', 'face-restoration', 'pytorch', 'super-resolution', 'vqgan', 'restoration']",[NeurIPS 2022] Towards Robust Blind Face Restoration with Codebook Lookup Transformer
bubbliiiing/yolo3-pytorch,bubbliiiing/yolo3-pytorch,[], 这是一个yolo3-pytorch的源码，可以用于训练自己的模型。
fedml-ai/fedml,FedML-AI/FedML,"['federated-learning', 'deep-learning', 'distributed-training', 'blockchain', 'edge-ai', 'machine-learning', 'on-device-training', 'inference-engine', 'marketplace', 'mlops', 'privacy', 'security']","FedML - The federated learning and analytics library enabling secure and collaborative machine learning on decentralized data anywhere at any scale. Supporting large-scale cross-silo federated learning, cross-device federated learning on smartphones/IoTs, and research simulation. MLOps and App Marketplace are also enabled (https://open.fedml.ai)."
tju-drl-lab/ai-optimizer,TJU-DRL-LAB/AI-Optimizer,"['reinforcement-learning', 'transfer-learning', 'deep-learning']",The next generation deep reinforcement learning tookit
uber/orbit,uber/orbit,"['python', 'forecasting', 'bayesian', 'exponential-smoothing', 'pyro', 'stan', 'pystan', 'probabilistic-programming', 'probabilistic', 'forecast', 'orbit', 'time-series', 'regression', 'arima', 'changepoint', 'bayesian-methods', 'bayesian-statistics', 'machine-learning', 'regression-models', 'pytorch']",A Python package for Bayesian forecasting with object-oriented design and probabilistic models under the hood.
jiupinjia/skyar,jiupinjia/SkyAR,"['dynamic-sky-replacement', 'sky-matting', 'harmonization', 'skyar']","Official Pytorch implementation of the preprint paper ""Castle in the Sky: Dynamic Sky Replacement and Harmonization in Videos"", in arXiv:2010.11800."
lightning-ai/lightning-flash,Lightning-AI/lightning-flash,"['pytorch-lightning', 'deep-learning', 'machine-learning', 'pytorch', 'tasks-flash', 'classification', 'tabular-data', 'object-detection', 'icevision', 'open3d', 'fiftyone', 'torch-geometric', 'pytorch-video']",Your PyTorch AI Factory - Flash enables you to easily configure and run complex AI recipes for over 15 tasks across 7 data domains
charmve/surface-defect-detection,Charmve/Surface-Defect-Detection,"['surface-detection', 'surface-defects', 'image-segmentation', 'pcb-surface-defect', 'surface-defect-detection', 'paper', 'defects', 'dataset', 'surface', 'deep-learning', 'charmve']",📈 目前最大的工业缺陷检测数据库及论文集 Constantly summarizing open source dataset and critical papers in the field of surface defect research which are of great importance.  
open-mmlab/mmclassification,open-mmlab/mmclassification,"['image-classification', 'resnet', 'resnext', 'mobilenet', 'shufflenet', 'senet', 'regnet', 'imagenet', 'pytorch', 'deep-learning', 'swin-transformer']",OpenMMLab Image Classification Toolbox and Benchmark
peterh0323/smart_construction,PeterH0323/Smart_Construction,"['yolov5', 'helmet', 'pytorch', 'python', 'detection', 'object-detection']",Head Person Helmet Detection on Construction Sites，基于目标检测工地安全帽和禁入危险区域识别系统，🚀😆附 YOLOv5 训练自己的数据集超详细教程🚀😆2021.3新增可视化界面❗❗
towhee-io/towhee,towhee-io/towhee,"['machine-learning', 'convolutional-networks', 'embedding-vectors', 'embeddings', 'computer-vision', 'image-processing', 'video-processing', 'feature-extraction', 'image-retrieval', 'unstructured-data', 'feature-vector', 'transformer', 'milvus', 'towhee', 'vision-transformer', 'vit', 'pipeline']",Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.
graph4ai/graph4nlp,graph4ai/graph4nlp,"['nlp', 'pytorch', 'natural-language-processing', 'deep-learning', 'machine-learning', 'graph-neural-networks']",Graph4nlp is the library for the easy use of Graph Neural Networks for NLP. Welcome to visit our DLG4NLP website (https://dlg4nlp.github.io/index.html) for various learning resources! 
argosopentech/argos-translate,argosopentech/argos-translate,"['python', 'machine-translation', 'transformers', 'translation', 'language-models', 'linux', 'nlp', 'open-source']",Open-source offline translation library written in Python
paddlepaddle/research,PaddlePaddle/Research,"['deep-learning', 'computer-vision', 'nlp', 'knowledge-graph', 'spatial-temporal', 'data-mining']",novel deep learning research works with PaddlePaddle
tensorflow/recommenders,tensorflow/recommenders,"['tensorflow-recommenders', 'tensorflow', 'recommender', 'recommender-system']",TensorFlow Recommenders is a library for building recommender system models using TensorFlow.
mindee/doctr,mindee/doctr,"['ocr', 'deep-learning', 'document-recognition', 'tensorflow2', 'text-detection-recognition', 'text-detection', 'text-recognition', 'optical-character-recognition', 'pytorch']","docTR (Document Text Recognition) - a seamless, high-performing & accessible library for OCR-related tasks powered by Deep Learning."
nlp-love/introduction-nlp,NLP-LOVE/Introduction-NLP,"['nlp', 'mechine-learing', 'deep-learning', 'ai']",HanLP作者的新书《自然语言处理入门》详细笔记！业界良心之作，书中不是枯燥无味的公式罗列，而是用白话阐述的通俗易懂的算法模型。从基本概念出发，逐步介绍中文分词、词性标注、命名实体识别、信息抽取、文本聚类、文本分类、句法分析这几个热门问题的算法原理与工程实现。
tyleryep/torchinfo,TylerYep/torchinfo,"['pytorch', 'torchsummary', 'torch', 'keras', 'visualization', 'torchvision', 'torch-summary', 'torchinfo', 'python']",View model summaries in PyTorch!
pytorchlightning/lightning-flash,Lightning-AI/lightning-flash,"['pytorch-lightning', 'deep-learning', 'machine-learning', 'pytorch', 'tasks-flash', 'classification', 'tabular-data', 'object-detection', 'icevision', 'open3d', 'fiftyone', 'torch-geometric', 'pytorch-video']",Your PyTorch AI Factory - Flash enables you to easily configure and run complex AI recipes for over 15 tasks across 7 data domains
nebuly-ai/nebullvm,nebuly-ai/nebullvm,"['deep-learning', 'pytorch', 'onnx', 'machine-learning', 'tensorflow', 'tvm', 'openvino', 'tensorrt', 'huggingface', 'compiler', 'computing', 'inference', 'neural-network', 'pypi', 'quantization', 'edge-computing', 'gpu', 'optimization', 'transformers']",Plug and play modules to boost the performances of your AI systems 🚀
wxinlong/solo,WXinlong/SOLO,"['solo', 'instance-segmentation', 'object-detection', 'pytorch', 'solov2']","SOLO and SOLOv2 for instance segmentation, ECCV 2020 & NeurIPS 2020."
ppogg/yolov5-lite,ppogg/YOLOv5-Lite,"['ncnn', 'yolov5', 'android-app', 'mnn', 'shufflenetv2', 'repvgg', 'transformer', 'tensorrt', 'pplcnet', 'openvivo', 'mobilenet', 'tflite', 'pytorch', 'picodet', 'onnxruntime']","🍅🍅🍅YOLOv5-Lite: lighter, faster and easier to deploy. Evolved from yolov5 and the size of model is only 930+kb (int8) and 1.7M (fp16). It can reach 10+ FPS on the Raspberry Pi 4B when the input size is 320×320~"
mukosame/anime2sketch,Mukosame/Anime2Sketch,"['pytorch', 'deep-learning', 'gan', 'anime', 'sketch', 'wacv', 'gradio', 'comic', 'manga', 'computer-vision', 'generative-adversarial-network', 'image-generation', 'gans']",A sketch extractor for anime/illustration.
vita-group/transgan,VITA-Group/TransGAN,"['transformer', 'transformer-encoder', 'transformer-models', 'gan', 'pytorch']","[NeurIPS‘2021] ""TransGAN: Two Pure Transformers Can Make One Strong GAN, and That Can Scale Up"", Yifan Jiang, Shiyu Chang, Zhangyang Wang"
deepcam-cn/yolov5-face,deepcam-cn/yolov5-face,"['yolov5', 'tensorrt', 'retinaface', 'scrfd', 'tinaface', 'yolo', 'pytorch', 'arcface', 'shufflenet', 'blazeface', 'yolov7']",YOLO5Face: Why Reinventing a Face Detector (https://arxiv.org/abs/2105.12931)       ECCV Workshops 2022)
open-mmlab/openselfsup,open-mmlab/mmselfsup,"['self-supervised-learning', 'unsupervised-learning', 'pytorch', 'moco', 'simclr', 'simsiam', 'mae', 'masked-image-modeling', 'beit']",OpenMMLab Self-Supervised Learning Toolbox and Benchmark
ziyaogeng/reclearn,ZiyaoGeng/RecLearn,"['recommender-system', 'python3', 'ctr-prediction', 'criteo', 'neural-network', 'factorization-machine', 'tensorflow2', 'deepfm', 'afm', 'xdeepfm', 'pnn', 'widedeep', 'nfm', 'ncf', 'dcn', 'deepcross', 'fm', 'ffm', 'matrix-factorization']",Recommender Learning with Tensorflow2.x
tingfree/nlper-arsenal,TingFree/NLPer-Arsenal,"['nlp-competition', 'gpu', 'nlp-conference', 'nlp-media', 'pytorch', 'nlp', 'baselines']",收录NLP竞赛策略实现、各任务baseline、相关竞赛经验贴（当前赛事、往期赛事、训练赛）、NLP会议时间、常用自媒体、GPU推荐等，持续更新中
